N,T,p,chunk,TIME_mean,RSS_mean,TIME_dec_mean,TIME_std,RSS_std,TIME_dec_std,S_pred
10000000,8,10,10,0.0924162,1490.4,0.0637564,0.007035364158623522,850.5521344005513,0.005594229828830576,10
10000000,8,10,50,0.08092659999999999,1510.8,0.05904279999999999,0.018163630928008004,770.7498225033132,0.00806000238213364,10
10000000,16,10,0,0.07310900000000001,2896.4,0.05591549999999999,0.007220373551432241,1211.4321368620788,0.004761729640232282,10
10000000,16,10,1,0.07441640000000001,2842.8,0.0548921,0.010110517924968587,812.3120363779208,0.009859903328915327,10
10000000,16,10,4,0.0912643,2040.4,0.0633379,0.024237034839041036,1099.089643497947,0.011280829022431523,9
10000000,16,10,10,0.11852719999999999,1888.8,0.0759631,0.011710457205231381,992.7789056761609,0.0070813016450995015,9
10000000,16,10,50,0.08936509999999999,2462.0,0.061309,0.022350715809814934,1606.9629049165317,0.008738844304470575,10
50000000,4,10,0,0.2584598,1094.0,0.2096937,0.004445570649534204,56.03966848978003,0.005074115096360258,10
50000000,4,10,1,0.2581512,1128.0,0.21006640000000001,0.005497484612681208,37.66519171153476,0.006566643150550115,10
50000000,4,10,4,0.2430714,1128.4,0.19508019999999998,0.04851139704394789,21.11976430844919,0.048723844996971334,10
50000000,4,10,10,0.25608899999999996,1160.8,0.2084498,0.006301982104421156,32.59447805994138,0.006502874352503242,10
50000000,4,10,50,0.25763610000000003,1320.0,0.20973440000000002,0.009353099562890009,650.4507838585655,0.009214918944600413,10
50000000,6,10,0,0.2615379,1108.8,0.2175633,0.016100973382928683,52.72317643440438,0.01552199320713104,10
50000000,6,10,1,0.2598407,1306.4,0.21530649999999998,0.008519524165768365,589.1589485585929,0.008363641156152556,10
50000000,6,10,4,0.2599153,1483.2,0.21589260000000002,0.010472466663165418,787.4500054677193,0.01051487605675354,10
50000000,6,10,10,0.2666065,1326.4,0.22273340000000003,0.009390490535642964,625.8070700214954,0.010201540648353071,10
50000000,6,10,50,0.2657603,1291.6,0.2222295,0.01412506106220823,616.8837815990951,0.013628708842814941,10
50000000,8,10,0,0.2698836,1121.6,0.22640350000000004,0.012580861533827222,32.17728667519649,0.012290324073568334,10
50000000,8,10,1,0.26609760000000005,1890.8,0.22234839999999995,0.004876279893525397,1012.9315870284627,0.004645988573191093,10
50000000,8,10,4,0.2647373,2108.0,0.2210853,0.006501943607705153,1043.1661207859252,0.0066041895465429115,10
50000000,8,10,10,0.26730909999999997,1312.0,0.22396719999999998,0.00615546805603675,583.7625087881772,0.006321596349024511,10
50000000,8,10,50,0.2486624,1120.8,0.20469860000000004,0.06044457118017759,31.258065625797556,0.0603936085437303,10
50000000,16,10,0,0.3091987,2671.2,0.23489980000000005,0.025485244960128946,1100.9196963347408,0.015345310176076592,10
50000000,16,10,1,0.30345999999999995,2436.8,0.236964,0.015243942235815799,1368.5714206183518,0.012040705128853543,10
50000000,16,10,4,0.2996482,2980.0,0.2324825,0.03219924578412772,1070.2240679201507,0.014476102976591762,10
50000000,16,10,10,0.3263885,1808.0,0.2417428,0.028315743321222078,931.0715451683733,0.01340987046751592,10
50000000,16,10,50,0.32419300000000006,2175.2,0.23818309999999995,0.030684610427885693,1363.7748918188645,0.020253355208732973,10
100000000,4,10,0,0.49385969999999996,1114.4,0.39794039999999997,0.009721047829323754,55.68801985665818,0.010476589682610345,10
100000000,4,10,1,0.4984011,1146.8,0.40152660000000007,0.013386348663636553,46.64952065967857,0.01330745213279637,10
100000000,4,10,4,0.48094270000000006,1113.2,0.3842045,0.016697585021992454,49.1365444450462,0.016534772371849842,10
100000000,4,10,10,0.482055,1107.2,0.386381,0.016171297034492237,61.3854850740611,0.015997052068705938,10
100000000,4,10,50,0.4963628,1306.8,0.3991657,0.015304773516782283,632.3966406545113,0.015771756085202156,10
100000000,6,10,0,0.5308441999999999,1524.0,0.4234623,0.051315192787754815,817.0755439030374,0.054674060199310044,10
100000000,6,10,1,0.5360995999999999,1306.4,0.4500535,0.01042223363988951,635.204813863651,0.010288413961021068,10
100000000,6,10,4,0.5242696,1115.6,0.4377878999999999,0.016729282140406778,37.54464009682341,0.016104648041619683,10
100000000,6,10,10,0.5350503999999999,1278.4,0.449391,0.022677709854980223,596.7175397306687,0.02244975228767075,10
100000000,6,10,50,0.5316275000000001,1279.6,0.44599890000000003,0.016066357260160476,618.840349183679,0.016700205357686137,10
100000000,8,10,0,0.5441261,1735.6,0.4579135,0.01606824939956642,1317.7441329787814,0.014626176976381924,10
100000000,8,10,1,0.5411158,1294.0,0.45436540000000003,0.019092168323396094,592.4450279233603,0.01881134489373663,10
100000000,8,10,4,0.5515407,1683.2,0.46036140000000003,0.048630589212163795,947.4265494837406,0.03432121267347319,10
100000000,8,10,10,0.542526,2104.4,0.45774609999999993,0.0180590831931684,1023.9365431726932,0.018892189476371203,10
100000000,8,10,50,0.5319157999999999,1682.8,0.4471438,0.010157458636664753,968.5490637489094,0.010097739678869828,10
100000000,16,10,0,0.5985299000000001,2278.0,0.4595250999999999,0.043792160194998875,1368.9252881163545,0.03468059334828181,10
100000000,16,10,1,0.5879083000000002,2422.8,0.45878890000000006,0.043994367025917226,2171.4528060468847,0.043050512611349935,10
100000000,16,10,4,0.5715492999999998,2720.4,0.46301050000000005,0.027814824077379244,1213.4951540442544,0.009460647913565141,10
100000000,16,10,10,0.581607,1795.6,0.4408099999999999,0.044077044922625104,1129.7408945810932,0.03749960373420263,10
100000000,16,10,50,0.5923975,2200.8,0.45275220000000005,0.05132242891812075,924.9659212941607,0.04414437209581004,10
200000000,4,10,0,1.0993762,1286.0,0.9076432999999999,0.04092568120603224,663.3926271656761,0.03948896131283611,10
200000000,4,10,1,1.0235881,1107.2,0.8338222,0.20969902641296276,61.81837195455014,0.21015069358269764,10
200000000,4,10,4,1.0317574,1121.6,0.8439460999999999,0.04097215359024007,43.37741347752307,0.041683650315867904,10
200000000,4,10,10,0.9838703000000001,1133.6,0.7899278,0.06624502813050283,44.55009664536218,0.06857038490615155,10
200000000,4,10,50,0.9701617,1115.6,0.7775410999999999,0.04314834190466907,47.57029885688478,0.04305738559295025,10
200000000,6,10,0,1.0864136,1511.2,0.8710011,0.12832360953654975,840.9831283814333,0.12976666456327599,10
200000000,6,10,1,1.0189742999999998,1524.0,0.7867684,0.0634400299951765,796.9542019463854,0.02638214478350417,10
200000000,6,10,4,1.0667556,1121.6,0.8678861,0.11633483345661254,53.406616319204,0.0927166788920239,10
200000000,6,10,10,1.0494372,1337.2,0.8799299999999999,0.04593514125808256,644.6885208291588,0.04330173183860229,10
200000000,6,10,50,1.0094337000000002,1330.8,0.8027907000000001,0.06556609098044165,598.8375405734013,0.051417372433946,10
200000000,8,10,0,1.0596994,1502.4,0.8870326000000001,0.046439961183350593,810.750434268565,0.04792671134184408,10
200000000,8,10,1,1.0569478,2277.6,0.8816132,0.04262796470706367,996.0226681936288,0.04498095302038654,10
200000000,8,10,4,1.0652689000000002,1317.6,0.8839409,0.03415302726276415,604.9431929253082,0.024337948614594998,10
200000000,8,10,10,1.0089109,1108.8,0.8034163,0.07705727930781248,52.18088198223986,0.07452762084258129,10
200000000,8,10,50,1.0691359999999999,1893.2,0.8219305,0.14445508388038442,1056.5336193841108,0.1032229192198989,10
200000000,16,10,0,1.1776554999999997,2865.6,0.9358867,0.06157046636578287,968.3070220177528,0.05178379662500617,10
200000000,16,10,1,1.1399751999999999,3149.2,0.8965357,0.04599632539622658,1236.7988069564462,0.044652672268048824,10
