N,T,sched,chunk,TIME_mean,RSS_mean,TIME_std,RSS_std
10000,6,dynamic,0,0.0013242,1153.2,0.002328902831807287,34.2046130741974
10000,6,dynamic,1,0.0005931,1135.2,1.3843971812870601e-05,58.265293652777935
10000,6,dynamic,4,0.00024619999999999997,1110.4,6.214677966091421e-06,50.84879546262625
10000,6,dynamic,10,0.00021229999999999998,1129.2,5.907622195096771e-06,46.839679285361846
10000,6,dynamic,50,0.000196,1116.8,4.082482904638628e-06,36.988887220052696
10000,8,static,0,0.0002186,1090.4,7.848566748139437e-06,53.90361768935365
10000,8,static,1,0.0002693,1121.6,4.715223571935187e-06,42.04547802347147
10000,8,static,4,0.0002002,1129.2,4.9844201713383334e-06,48.6273814041248
10000,8,static,10,0.00020339999999999998,1122.8,2.6749870196985098e-06,66.21312390891838
10000,8,static,50,0.0002029,1115.6,3.871548642195894e-06,46.35898570455954
10000,8,dynamic,0,0.0006038,1109.6,1.7611864687697825e-05,39.964428627913044
10000,8,dynamic,1,0.0006113,1133.6,2.1234406043023677e-05,27.66144529043187
10000,8,dynamic,4,0.00433,1128.8,0.007126983045674609,64.29930015171239
10000,8,dynamic,10,0.0034072000000000004,1104.0,0.007089392636577237,52.93182197674455
10000,8,dynamic,50,0.00019950000000000002,1122.0,4.1965594373380575e-06,60.37659590713386
10000,16,static,0,0.028909800000000003,1108.8,0.010682552834723854,59.23362408482384
10000,16,static,1,0.03237620000000001,1110.4,0.005100352706757968,58.64241923158809
10000,16,static,4,0.021319300000000003,1141.6,0.009540306599429135,32.06659736652248
10000,16,static,10,0.027342299999999996,1127.6,0.01113096744372803,45.85775107147464
10000,16,static,50,0.032478,1293.2,0.00926221371427419,608.1901749361699
10000,16,dynamic,0,0.0182005,1078.0,0.00822170274672805,52.67088590694315
10000,16,dynamic,1,0.029483799999999998,1090.0,0.008180751619910403,61.543119481836115
10000,16,dynamic,4,0.022056700000000005,1116.0,0.010454872219315845,47.62818959864467
10000,16,dynamic,10,0.0279216,1129.2,0.01238233488303218,46.839679285361846
10000,16,dynamic,50,0.035156999999999994,1115.2,0.006276599964241079,64.29930015171237
100000,2,static,0,0.006680799999999999,1091.2,1.4778362561528939e-05,75.06560093974099
100000,2,static,1,0.0111017,1097.2,1.2517099415510802e-05,44.022216613382334
100000,2,static,4,0.005619100000000001,1096.4,1.1029757728778972e-05,62.323885201956614
100000,2,static,10,0.0055569,1096.4,1.150313966803054e-05,54.53480030626723
100000,2,static,50,0.0055413,1128.4,1.2463725143168347e-05,36.779221186848304
100000,2,dynamic,0,0.0073558,1135.2,0.00010610037176602576,58.265293652777935
100000,2,dynamic,1,0.007345600000000001,1122.4,0.00015585334987309915,52.296590073668604
100000,2,dynamic,4,0.0061075,1097.6,2.1624317587177448e-05,44.90780679471122
100000,2,dynamic,10,0.005757300000000001,1089.6,1.1116054455906125e-05,62.23111047628117
100000,2,dynamic,50,0.0055782,1123.6,1.4304622407537384e-05,42.68541254860312
100000,4,static,0,0.0036012999999999996,1122.0,4.110960958218927e-06,61.311590348898235
100000,4,static,1,0.005615399999999999,1116.4,1.3040109065665137e-05,47.08196163193619
100000,4,static,4,0.0028907,1142.0,1.1015645439303363e-05,43.827946437049604
100000,4,static,10,0.002842,1090.8,4.64279609239471e-06,68.53514913288411
100000,4,static,50,0.0028312000000000003,1135.2,7.5542482529148936e-06,66.47438938752612
100000,4,dynamic,0,0.0051396,1097.2,0.00014754675341885514,61.305790917335045
100000,4,dynamic,1,0.005082199999999999,1102.8,0.0001889496111548144,51.36535797597443
100000,4,dynamic,4,0.0032236,1116.4,2.1453826387539084e-05,63.98472039826731
100000,4,dynamic,10,0.0029758,1096.8,1.2620970203945853e-05,54.74141231483001
100000,4,dynamic,50,0.0028551,1089.6,6.756889488185731e-06,55.974597413072615
100000,6,static,0,0.0025168,1286.0,6.481392168696814e-05,571.0100213170032
100000,6,static,1,0.0054561,1331.2,7.048159728294716e-05,592.7976608140983
100000,6,static,4,0.0028025999999999997,1141.6,5.0815570667092136e-06,43.37741347752307
100000,6,static,10,0.0021439000000000002,1110.4,1.1704225257952257e-05,40.2304472867117
100000,6,static,50,0.0079772,1148.0,0.0063020137310756995,53.79797600488537
